PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,IsAlone,Title
96,0,3,1,1,1,0,1,1
97,0,1,1,4,3,1,1,1
98,1,1,1,1,3,1,0,1
99,1,2,0,2,2,0,0,3
100,0,2,1,2,2,0,0,1
101,0,3,0,1,0,0,1,2
102,0,3,1,1,0,0,1,1
103,0,1,1,1,3,0,0,1
104,0,3,1,2,1,0,1,1
105,0,3,1,2,1,0,0,1
106,0,3,1,1,0,0,1,1
107,1,3,0,1,0,0,1,2
108,1,3,1,1,0,0,1,1
109,0,3,1,2,0,0,1,1
110,1,3,0,1,2,2,0,2
111,0,1,1,2,3,0,1,1
112,0,3,0,0,2,1,0,2
113,0,3,1,1,1,0,1,1
114,0,3,0,1,1,0,0,2
115,0,3,0,1,2,1,1,2
116,0,3,1,1,1,0,1,1
117,0,3,1,4,0,2,1,1
118,0,2,1,1,2,0,0,1
119,0,1,1,1,3,1,0,1
120,0,3,0,0,3,0,0,2
121,0,2,1,1,3,0,0,1
122,0,3,1,2,1,0,1,1
123,0,2,1,2,2,1,0,1
124,1,2,0,2,1,0,1,2
125,0,1,1,3,3,0,0,1
126,1,3,1,0,1,1,0,4
127,0,3,1,1,0,2,1,1
128,1,3,1,1,0,0,1,1
129,1,3,0,1,2,1,0,2
130,0,3,1,2,0,0,1,1
131,0,3,1,2,0,1,1,1
132,0,3,1,1,0,0,1,1
133,0,3,0,2,2,0,0,3
134,1,2,0,1,2,0,0,3
135,0,2,1,1,1,0,1,1
136,0,2,1,1,2,1,1,1
137,1,1,0,1,2,0,0,2
138,0,1,1,2,3,0,0,1
139,0,3,1,0,1,0,1,1
140,0,1,1,1,3,1,1,1
141,0,3,0,2,2,1,0,3
142,1,3,0,1,0,0,1,2
143,1,3,0,1,2,0,0,3
144,0,3,1,1,0,2,1,1
145,0,2,1,1,1,0,1,1
146,0,2,1,1,3,0,0,1
147,1,3,1,1,0,0,1,1
148,0,3,0,0,3,0,0,2
149,0,2,1,2,2,0,0,1
150,0,2,1,2,1,0,1,5
151,0,2,1,3,1,0,1,5
152,1,1,0,1,3,0,0,3
153,0,3,1,3,1,0,1,1
154,0,3,1,2,2,0,0,1
155,0,3,1,0,0,0,1,1
156,0,1,1,3,3,1,0,1
157,1,3,0,0,0,2,1,2
158,0,3,1,1,1,0,1,1
159,0,3,1,0,1,0,1,1
160,0,3,1,1,3,0,0,4
161,0,3,1,2,2,0,0,1
162,1,2,0,2,2,0,1,3
163,0,3,1,1,0,0,1,1
164,0,3,1,1,1,0,1,1
165,0,3,1,0,3,0,0,4
166,1,3,1,0,2,0,0,4
167,1,1,0,2,3,0,0,3
168,0,3,0,2,2,0,0,3
169,0,1,1,1,2,0,1,1
170,0,3,1,1,3,0,1,1
171,0,1,1,3,3,0,1,1
172,0,3,1,0,2,2,0,4
173,1,3,0,0,1,0,0,2
174,0,3,1,1,1,0,1,1
175,0,1,1,3,2,1,1,1
176,0,3,1,1,0,0,0,1
177,0,3,1,1,2,0,0,4
178,0,1,0,3,2,1,1,2
179,0,2,1,1,1,0,1,1
180,0,3,1,2,0,0,1,1
181,0,3,0,1,3,0,0,2
182,0,2,1,1,2,1,1,1
183,0,3,1,0,3,0,0,4
184,1,2,1,0,3,0,0,4
185,1,3,0,0,2,0,0,2
186,0,1,1,1,3,0,1,1
187,1,3,0,2,2,2,0,3
188,1,1,1,2,2,0,1,1
189,0,3,1,2,2,2,0,1
190,0,3,1,2,0,0,1,1
191,1,2,0,1,1,0,1,3
192,0,2,1,1,1,0,1,1
193,1,3,0,1,0,0,0,2
194,1,2,1,0,2,0,0,4
195,1,1,0,2,2,1,1,3
196,1,1,0,3,3,1,1,2
197,0,3,1,1,0,2,1,1
198,0,3,1,2,1,0,0,1
199,1,3,0,1,0,2,1,2
200,0,2,0,1,1,0,1,2
201,0,3,1,1,1,0,1,1
202,0,3,1,2,3,0,0,1
203,0,3,1,2,0,0,1,1
204,0,3,1,2,0,1,1,1
205,1,3,1,1,1,0,1,1
206,0,3,0,0,1,0,0,2
207,0,3,1,1,2,0,0,1
208,1,3,1,1,2,1,1,1
209,1,3,0,0,0,2,1,2
210,1,1,1,2,2,1,1,1
211,0,3,1,1,0,0,1,1
212,1,2,0,2,2,0,1,2
213,0,3,1,1,0,0,1,1
214,0,2,1,1,1,0,1,1
215,0,3,1,2,0,2,0,1
216,1,1,0,1,3,1,0,2
217,1,3,0,1,1,0,1,2
218,0,2,1,2,2,0,0,1
219,1,1,0,1,3,1,1,2
220,0,2,1,1,1,0,1,1
221,1,3,1,0,1,0,1,1
222,0,2,1,1,1,0,1,1
223,0,3,1,3,1,0,1,1
224,0,3,1,1,0,0,1,1
225,1,1,1,2,3,0,0,1
226,0,3,1,1,1,0,1,1
227,1,2,1,1,1,0,1,1
228,0,3,1,1,0,0,1,1
229,0,2,1,1,1,0,1,1
230,0,3,0,1,2,0,0,2
231,1,1,0,2,3,0,0,3
232,0,3,1,1,0,0,1,1
233,0,2,1,3,1,0,1,1
234,1,3,0,0,3,0,0,2
235,0,2,1,1,1,0,1,1
236,0,3,0,0,0,0,1,2
237,0,2,1,2,2,0,0,1
238,1,2,0,0,2,0,0,2
239,0,2,1,1,1,0,1,1
240,0,2,1,2,1,0,1,1
241,0,3,0,2,2,1,0,2
242,1,3,0,1,2,2,0,2
243,0,2,1,1,1,0,1,1
244,0,3,1,1,0,0,1,1
245,0,3,1,1,0,1,1,1
246,0,1,1,2,3,2,0,5
247,0,3,0,1,0,0,1,2
248,1,2,0,1,2,0,0,3
249,1,1,1,2,3,0,0,1
250,0,2,1,3,2,0,0,5
251,0,3,1,1,0,0,1,1
252,0,3,0,1,1,0,0,3
253,0,1,1,3,2,0,1,1
254,0,3,1,1,2,0,0,1
255,0,3,0,2,2,0,0,3
256,1,3,0,1,2,1,0,3
257,1,1,0,2,3,1,1,3
258,1,1,0,1,3,0,1,2
259,1,1,0,2,3,1,1,2
260,1,2,0,3,2,0,0,3
261,0,3,1,2,0,2,1,1
262,1,3,1,0,3,0,0,4
263,0,1,1,3,3,0,0,1
264,0,1,1,2,0,0,1,1
265,0,3,0,1,0,2,1,2
266,0,2,1,2,1,0,1,1
267,0,3,1,0,3,0,0,1
268,1,3,1,1,0,0,0,1
269,1,1,0,3,3,0,0,3
270,1,1,0,2,3,0,1,2
271,0,1,1,1,2,0,1,1
272,1,3,1,1,0,0,1,1
273,1,2,0,2,2,0,0,3
274,0,1,1,2,2,1,0,1
275,1,3,0,1,0,2,1,2
276,1,1,0,3,3,0,0,2
277,0,3,0,2,0,0,1,2
278,0,2,1,1,0,0,1,1
279,0,3,1,0,2,2,0,4
280,1,3,0,2,2,0,0,3
281,0,3,1,4,0,2,1,1
282,0,3,1,1,0,0,1,1
283,0,3,1,0,1,0,1,1
284,1,3,1,1,1,0,1,1
285,0,1,1,2,2,0,1,1
286,0,3,1,2,1,1,1,1
287,1,3,1,1,1,0,1,1
288,0,3,1,1,0,0,1,1
289,1,2,1,2,1,0,1,1
290,1,3,0,1,0,2,1,2
291,1,1,0,1,3,0,1,2
292,1,1,0,1,3,1,0,3
293,0,2,1,2,1,1,1,1
294,0,3,0,1,1,0,1,2
295,0,3,1,1,0,0,1,1
296,0,1,1,1,2,1,1,1
297,0,3,1,1,0,1,1,1
298,0,1,0,0,3,0,0,2
299,1,1,1,2,2,0,1,1
300,1,1,0,3,3,1,0,3
301,1,3,0,2,0,2,1,2
302,1,3,1,0,2,2,0,1
303,0,3,1,1,0,0,1,1
304,1,2,0,2,1,2,1,2
305,0,3,1,2,1,0,1,1
306,1,1,1,0,3,0,0,4
307,1,1,0,2,3,1,1,2
308,1,1,0,1,3,1,0,3
309,0,2,1,1,2,1,0,1
310,1,1,0,1,3,1,1,2
311,1,1,0,1,3,1,1,2
312,1,1,0,1,3,1,0,2
313,0,2,0,1,2,0,0,3
314,0,3,1,1,0,0,1,1
315,0,2,1,2,2,0,0,1
316,1,3,0,1,0,0,1,2
317,1,2,0,1,2,0,0,3
318,0,2,1,3,1,0,1,5
319,1,1,0,1,3,0,0,2
320,1,1,0,2,3,1,0,3
321,0,3,1,1,0,0,1,1
322,0,3,1,1,0,0,1,1
323,1,2,0,1,1,2,1,2
324,1,2,0,1,2,0,0,3
325,0,3,1,1,3,0,0,1
326,1,1,0,2,3,1,1,2
327,0,3,1,3,0,0,1,1
328,1,2,0,2,1,0,1,3
329,1,3,0,1,2,0,0,3
330,1,1,0,0,3,1,0,2
331,1,3,0,1,2,2,0,2
332,0,1,1,2,2,0,1,1
333,0,1,1,2,3,0,0,1
334,0,3,1,0,2,0,0,1
335,1,1,0,1,3,0,0,3
336,0,3,1,1,0,0,1,1
337,0,1,1,1,3,0,0,1
338,1,1,0,2,3,1,1,2
339,1,3,1,2,1,0,1,1
340,0,1,1,2,3,0,1,1
341,1,2,1,0,2,0,0,4
342,1,1,0,1,3,0,0,2
343,0,2,1,1,1,0,1,1
344,0,2,1,1,1,0,1,1
345,0,2,1,2,1,0,1,1
346,1,2,0,1,1,0,1,2
347,1,2,0,2,1,0,1,2
348,1,3,0,1,2,0,0,3
349,1,3,1,0,2,0,0,4
350,0,3,1,2,1,0,1,1
351,0,3,1,1,1,0,1,1
352,0,1,1,1,3,0,1,1
353,0,3,1,0,0,1,0,1
354,0,3,1,1,2,0,0,1
355,0,3,1,1,0,1,1,1
356,0,3,1,1,1,0,1,1
357,1,1,0,1,3,0,0,2
358,0,2,0,2,1,0,1,2
359,1,3,0,1,0,2,1,2
360,1,3,0,1,0,2,1,2
361,0,3,1,2,2,0,0,1
362,0,2,1,1,2,1,0,1
363,0,3,0,2,2,1,0,3
364,0,3,1,2,0,0,1,1
365,0,3,1,1,2,2,0,1
366,0,3,1,1,0,0,1,1
367,1,1,0,3,3,1,0,3
368,1,3,0,1,0,1,1,3
369,1,3,0,1,0,2,1,2
370,1,1,0,1,3,1,1,3
371,1,1,1,1,3,1,0,1
372,0,3,1,1,0,0,0,1
373,0,3,1,1,1,0,1,1
374,0,1,1,1,3,1,1,1
375,0,3,0,0,2,0,0,2
376,1,1,0,1,3,1,0,3
377,1,3,0,1,0,0,1,2
378,0,1,1,1,3,1,0,1
379,0,3,1,1,0,1,1,1
380,0,3,1,1,0,0,1,1
381,1,1,0,2,3,1,1,2
382,1,3,0,0,2,1,0,2
383,0,3,1,1,1,0,1,1
384,1,1,0,2,3,0,0,3
385,0,3,1,0,0,0,1,1
386,0,2,1,1,3,0,1,1
387,0,3,1,0,3,0,0,4
388,1,2,0,2,1,0,1,2
389,0,3,1,2,0,2,1,1
390,1,2,0,1,1,1,1,2
391,1,1,1,2,3,0,0,1
392,1,3,1,1,0,0,1,1
393,0,3,1,1,1,0,0,1
394,1,1,0,1,3,1,0,2
395,1,3,0,1,2,0,0,3
396,0,3,1,1,0,0,1,1
397,0,3,0,1,0,0,1,2
398,0,2,1,2,2,0,1,1
399,0,2,1,1,1,0,1,5
400,1,2,0,1,1,0,1,3
401,1,3,1,2,1,0,1,1
402,0,3,1,1,1,0,1,1
403,0,3,0,1,1,0,0,2
404,0,3,1,1,2,0,0,1
405,0,3,0,1,1,0,1,2
406,0,2,1,2,2,0,0,1
407,0,3,1,3,0,0,1,1
408,1,2,1,0,2,0,0,4
409,0,3,1,1,0,0,1,1
410,0,3,0,1,2,0,0,2
411,0,3,1,1,0,0,1,1
412,0,3,1,2,0,2,1,1
413,1,1,0,2,3,2,0,2
414,0,2,1,2,0,0,1,1
415,1,3,1,2,1,0,1,1
416,0,3,0,1,1,0,1,3
417,1,2,0,2,3,0,0,3
418,1,2,0,1,1,0,0,2
419,0,2,1,1,1,0,1,1
420,0,3,0,0,2,0,0,2
421,0,3,1,2,0,1,1,1
422,0,3,1,1,0,2,1,1
423,0,3,1,1,0,0,1,1
424,0,3,0,1,1,0,0,3
425,0,3,1,1,2,0,0,1
426,0,3,1,2,0,0,1,1
427,1,2,0,1,2,0,0,3
428,1,2,0,1,2,0,1,2
429,0,3,1,2,0,2,1,1
430,1,3,1,1,1,0,1,1
431,1,1,1,1,2,0,1,1
432,1,3,0,1,2,0,0,3
433,1,2,0,2,2,0,0,3
434,0,3,1,1,0,0,1,1
435,0,1,1,3,3,0,0,1
436,1,1,0,0,3,0,0,2
437,0,3,0,1,3,0,0,2
438,1,2,0,1,2,0,0,3
439,0,1,1,3,3,0,0,1
440,0,2,1,1,1,0,1,1
441,1,2,0,2,2,0,0,3
442,0,3,1,1,1,0,1,1
443,0,3,1,1,0,0,0,1
444,1,2,0,1,1,0,1,2
445,1,3,1,1,1,0,1,1
446,1,1,1,0,3,0,0,4
447,1,2,0,0,2,0,0,2
448,1,1,1,2,2,0,1,1
449,1,3,0,0,2,1,0,2
450,1,1,1,3,2,0,1,5
451,0,2,1,2,2,0,0,1
452,0,3,1,1,2,0,0,1
453,0,1,1,1,2,1,1,1
454,1,1,1,3,3,1,0,1
455,0,3,1,2,1,0,1,1
456,1,3,1,1,0,1,1,1
457,0,1,1,4,2,0,1,1
458,1,1,0,2,3,0,0,3
459,1,2,0,3,1,0,1,2
460,0,3,1,1,0,2,1,1
461,1,1,1,2,2,0,1,1
462,0,3,1,2,1,0,1,1
463,0,1,1,2,3,0,1,1
464,0,2,1,2,1,0,1,1
465,0,3,1,0,1,0,1,1
466,0,3,1,2,0,0,1,1
467,0,2,1,1,0,0,1,1
468,0,1,1,3,2,0,1,1
469,0,3,1,2,0,2,1,1
470,1,3,0,0,2,1,0,2
471,0,3,1,2,0,0,1,1
472,0,3,1,2,1,0,1,1
473,1,2,0,2,2,0,0,3
474,1,2,0,1,1,1,1,3
475,0,3,0,1,1,0,1,2
476,0,1,1,1,3,0,1,1
477,0,2,1,2,2,0,0,1
478,0,3,1,1,0,0,0,1
479,0,3,1,1,0,0,1,1
480,1,3,0,0,1,0,0,2
481,0,3,1,0,3,0,0,4
482,0,2,1,2,0,0,1,1
483,0,3,1,3,1,0,1,1
484,1,3,0,3,1,0,1,3
485,1,1,1,1,3,1,0,1
486,0,3,0,1,2,0,0,2
487,1,1,0,2,3,0,0,3
488,0,1,1,3,2,1,1,1
489,0,3,1,1,1,0,1,1
490,1,3,1,0,2,0,0,4
491,0,3,1,2,2,0,0,1
492,0,3,1,1,0,0,1,1
493,0,1,1,3,2,0,1,1
494,0,1,1,4,3,1,1,1
495,0,3,1,1,1,0,1,1
496,0,3,1,1,2,1,1,1
497,1,1,0,3,3,1,0,2
498,0,3,1,1,2,0,1,1
499,0,1,0,1,3,0,0,3
500,0,3,1,1,0,0,1,1
501,0,3,1,1,1,0,1,1
502,0,3,0,1,0,2,1,2
503,0,3,0,1,0,2,1,2
504,0,3,0,2,1,0,1,2
505,1,1,0,0,3,0,1,2
506,0,1,1,1,3,1,0,1
507,1,2,0,2,2,0,0,3
508,1,1,1,1,2,0,1,1
509,0,3,1,1,2,0,1,1
510,1,3,1,1,3,0,1,1
511,1,3,1,1,0,2,1,1
512,0,3,1,1,1,0,1,1
513,1,1,1,2,2,0,1,1
514,1,1,0,3,3,1,0,3
515,0,3,1,1,0,0,1,1
516,0,1,1,2,3,0,1,1
517,1,2,0,2,1,0,1,3
518,0,3,1,1,2,2,1,1
519,1,2,0,2,2,0,0,3
520,0,3,1,1,0,0,1,1
521,1,1,0,1,3,0,1,2
522,0,3,1,1,0,0,1,1
523,0,3,1,0,0,1,1,1
524,1,1,0,2,3,1,0,3
525,0,3,1,1,0,1,1,1
526,0,3,1,2,0,2,1,1
527,1,2,0,3,1,0,1,2
528,0,1,1,0,3,0,1,1
529,0,3,1,2,1,0,1,1
530,0,2,1,1,1,0,0,1
531,1,2,0,0,2,0,0,2
532,0,3,1,1,0,1,1,1
533,0,3,1,1,0,1,0,1
534,1,3,0,1,2,1,0,3
535,0,3,0,1,1,0,1,2
536,1,2,0,0,2,0,0,2
537,0,1,1,2,2,0,1,5
538,1,1,0,1,3,1,1,2
539,0,3,1,1,2,0,1,1
540,1,1,0,1,3,1,0,2
541,1,1,0,2,3,0,0,2
542,0,3,0,0,3,0,0,2
543,0,3,0,0,3,0,0,2
544,1,2,1,1,2,0,0,1
545,0,1,1,3,3,1,0,1
546,0,1,1,3,2,0,1,1
547,1,2,0,1,2,0,0,3
548,1,2,1,1,1,1,1,1
549,0,3,1,2,2,0,0,1
550,1,2,1,0,3,0,0,4
551,1,1,1,1,3,1,0,1
552,0,2,1,1,2,0,1,1
553,0,3,1,0,0,2,1,1
554,1,3,1,1,0,1,1,1
555,1,3,0,1,0,0,1,2
556,0,1,1,3,2,0,1,1
557,1,1,0,2,3,1,0,5
558,0,1,1,1,3,1,1,1
559,1,1,0,2,3,0,0,3
560,1,3,0,2,2,0,0,3
561,0,3,1,1,0,2,1,1
562,0,3,1,2,0,0,1,1
563,0,2,1,1,1,0,1,1
564,0,3,1,2,1,0,1,1
565,0,3,0,0,1,0,1,2
566,0,3,1,1,2,0,0,1
567,0,3,1,1,0,0,1,1
568,0,3,0,1,2,0,0,3
569,0,3,1,0,0,1,1,1
570,1,3,1,1,0,0,1,1
571,1,2,1,3,1,0,1,1
572,1,1,0,3,3,0,0,3
573,1,1,1,2,2,0,1,1
574,1,3,0,1,0,2,1,2
575,0,3,1,0,1,0,1,1
576,0,3,1,1,2,0,1,1
577,1,2,0,2,1,0,1,2
578,1,1,0,2,3,0,0,3
579,0,3,0,1,2,1,0,3
580,1,3,1,1,1,0,1,1
581,1,2,0,1,2,0,0,2
582,1,1,0,2,3,1,0,3
583,0,2,1,3,2,0,1,1
584,0,1,1,2,3,1,1,1
585,0,3,1,1,1,1,1,1
586,1,1,0,1,3,0,0,2
587,0,2,1,2,2,0,1,1
588,1,1,1,3,3,1,0,1
589,0,3,1,1,1,0,1,1
590,0,3,1,1,1,0,1,1
591,0,3,1,2,0,0,1,1
592,1,1,0,3,3,1,0,3
593,0,3,1,2,0,0,1,1
594,0,3,0,1,0,2,0,2
595,0,2,1,2,2,0,0,1
596,0,3,1,2,2,0,0,1
597,1,2,0,2,3,0,1,2
598,0,3,1,3,0,0,1,1
599,0,3,1,1,0,1,1,1
600,1,1,1,3,3,1,0,5
601,1,2,0,1,2,0,0,3
602,0,3,1,1,0,0,1,1
603,0,1,1,2,3,0,1,1
604,0,3,1,2,1,0,1,1
605,1,1,1,2,2,1,1,1
606,0,3,1,2,2,0,0,1
607,0,3,1,1,0,0,1,1
608,1,1,1,1,2,0,1,1
609,1,2,0,1,3,1,0,3
610,1,1,0,2,3,0,1,2
611,0,3,0,2,3,0,0,3
612,0,3,1,2,0,0,1,1
613,1,3,0,1,2,2,0,2
614,0,3,1,1,0,2,1,1
615,0,3,1,2,1,0,1,1
616,1,2,0,1,3,0,0,2
617,0,3,1,2,1,0,0,1
618,0,3,0,1,2,0,0,3
619,1,2,0,0,3,0,0,2
620,0,2,1,1,1,0,1,1
621,0,3,1,1,2,1,0,1
622,1,1,1,2,3,0,0,1
623,1,3,1,1,2,1,0,1
624,0,3,1,1,0,0,1,1
625,0,3,1,1,2,0,1,1
626,0,1,1,3,3,0,1,1
627,0,2,1,3,1,2,1,5
628,1,1,0,1,3,0,1,2
629,0,3,1,1,0,0,1,1
630,0,3,1,0,0,2,1,1
631,1,1,1,4,2,0,1,1
632,0,3,1,3,0,0,1,1
633,1,1,1,1,2,1,1,5
634,0,1,1,1,0,0,1,1
635,0,3,0,0,2,0,0,2
636,1,2,0,1,1,0,1,2
637,0,3,1,1,1,0,1,1
638,0,2,1,1,2,0,0,1
639,0,3,0,2,3,0,0,3
640,0,3,1,0,2,0,0,1
641,0,3,1,1,0,0,1,1
642,1,1,0,1,3,1,1,2
643,0,3,0,0,2,0,0,2
644,1,3,1,1,3,0,1,1
645,1,3,0,0,2,1,0,2
646,1,1,1,2,3,1,0,1
647,0,3,1,1,0,0,1,1
648,1,1,1,3,3,1,1,5
649,0,3,1,1,0,0,1,1
650,1,3,0,1,0,0,1,2
651,0,3,1,1,0,0,1,1
652,1,2,0,1,2,0,0,2
653,0,3,1,1,1,0,1,1
654,1,3,0,1,0,2,1,2
655,0,3,0,1,0,2,1,2
656,0,2,1,1,3,0,0,1
657,0,3,1,1,0,0,1,1
658,0,3,0,1,2,2,0,3
659,0,2,1,1,1,0,1,1
660,0,1,1,3,3,1,0,1
661,1,1,1,3,3,0,0,5
662,0,3,1,2,0,1,1,1
663,0,1,1,2,2,0,1,1
664,0,3,1,2,0,0,1,1
665,1,3,1,1,1,0,0,1
666,0,2,1,1,3,0,0,1
667,0,2,1,1,1,0,1,1
668,0,3,1,2,0,0,1,1
669,0,3,1,2,1,0,1,1
670,1,1,0,2,3,0,0,3
671,1,2,0,2,3,0,0,3
672,0,1,1,1,3,0,0,1
673,0,2,1,4,1,0,1,1
674,1,2,1,1,1,0,1,1
675,0,2,1,2,0,0,1,1
676,0,3,1,1,0,0,1,1
677,0,3,1,1,1,0,1,1
678,1,3,0,1,1,0,1,2
679,0,3,0,2,3,0,0,3
680,1,1,1,2,3,1,0,1
681,0,3,0,1,1,2,1,2
682,1,1,1,1,3,1,1,1
683,0,3,1,1,1,0,1,1
684,0,3,1,0,3,0,0,1
685,0,2,1,3,3,0,0,1
686,0,2,1,1,3,1,0,1
687,0,3,1,0,3,0,0,1
688,0,3,1,1,1,0,1,1
689,0,3,1,1,0,0,1,1
690,1,1,0,0,3,0,0,2
691,1,1,1,1,3,0,0,1
692,1,3,0,0,1,1,0,2
693,1,3,1,1,3,0,1,1
694,0,3,1,1,0,1,1,1
695,0,1,1,3,2,0,1,5
696,0,2,1,3,1,0,1,1
697,0,3,1,2,1,0,1,1
698,1,3,0,2,0,2,1,2
699,0,1,1,3,3,1,0,1
700,0,3,1,2,0,0,1,1
701,1,1,0,1,3,1,0,3
702,1,1,1,2,2,0,1,1
703,0,3,0,1,2,1,0,2
704,0,3,1,1,0,2,1,1
705,0,3,1,1,0,0,0,1
706,0,2,1,2,2,0,1,1
707,1,2,0,2,1,0,1,3
708,1,1,1,2,2,0,1,1
709,1,1,0,1,3,0,1,2
710,1,3,1,2,2,1,0,4
711,1,1,0,1,3,1,1,2
712,0,1,1,0,2,0,1,1
713,1,1,1,2,3,0,0,1
714,0,3,1,1,1,0,1,1
715,0,2,1,3,1,0,1,1
716,0,3,1,1,0,0,1,1
717,1,1,0,2,3,1,1,2
718,1,2,0,1,1,0,1,2
719,0,3,1,1,2,2,1,1
720,0,3,1,2,0,0,1,1
721,1,2,0,0,3,0,0,2
722,0,3,1,1,0,0,0,1
723,0,2,1,2,1,0,1,1
724,0,2,1,3,1,0,1,1
725,1,1,1,1,3,0,0,1
726,0,3,1,1,1,0,1,1
727,1,2,0,1,2,0,0,3
728,1,3,0,2,0,2,1,2
729,0,2,1,1,2,0,0,1
730,0,3,0,1,1,0,0,2
731,1,1,0,1,3,0,1,2
732,0,3,1,0,2,1,1,1
733,0,2,1,0,0,0,1,1
734,0,2,1,1,1,0,1,1
735,0,2,1,1,1,0,1,1
736,0,3,1,1,2,0,1,1
737,0,3,0,2,3,0,0,3
738,1,1,1,2,3,1,1,1
739,0,3,1,0,0,0,1,1
740,0,3,1,2,0,0,1,1
741,1,1,1,2,2,0,1,1
742,0,1,1,2,3,0,0,1
743,1,1,0,1,3,1,0,2
744,0,3,1,1,2,0,0,1
745,1,3,1,1,1,0,1,1
746,0,1,1,4,3,0,0,5
747,0,3,1,0,2,0,0,1
748,1,2,0,1,1,0,1,2
749,0,1,1,1,3,0,0,1
750,0,3,1,1,0,2,1,1
751,1,2,0,0,2,0,0,2
752,1,3,1,0,1,0,0,4
753,0,3,1,2,1,0,1,1
754,0,3,1,1,0,0,1,1
755,1,2,0,2,3,0,0,3
756,1,2,1,0,2,0,0,4
757,0,3,1,1,0,0,1,1
758,0,2,1,1,1,0,1,1
759,0,3,1,2,1,0,1,1
760,1,1,0,2,3,0,1,5
761,0,3,1,2,2,0,1,1
762,0,3,1,2,0,0,1,1
763,1,3,1,1,0,1,1,1
764,1,1,0,2,3,0,0,3
765,0,3,1,0,0,0,1,1
766,1,1,0,3,3,0,0,3
767,0,1,1,2,3,1,1,5
768,0,3,0,1,0,2,1,2
769,0,3,1,1,2,2,0,1
770,0,3,1,1,1,0,1,1
771,0,3,1,1,1,0,1,1
772,0,3,1,2,0,0,1,1
773,0,2,0,3,1,0,1,3
