id_Iris,Longueur Sépale (cm),Largeur Sépale (cm),Longueur Pétale (cm),Largeur Pétale (cm),Type Iris
1,5.3,3.7,1.5,0.2,0
27,5.0,3.3,1.4,0.2,0
99,7.0,3.2,4.7,1.4,1
133,6.4,3.2,4.5,1.5,1
33,,3.1,4.9,1.5,1
120,5.5,2.3,4.0,1.3,1
145,6.5,2.8,4.6,1.5,1
122,5.7,2.8,4.5,1.3,1
15,6.3,3.3,4.7,1.6,1
51,4.9,2.4,3.3,1.0,1
94,6.6,,4.6,1.3,1
107,5.2,2.7,3.9,1.4,1
88,5.0,2.0,3.5,1.0,1
98,5.9,3.0,4.2,1.5,1
146,6.0,2.2,4.0,1.0,1
90,6.1,2.9,4.7,1.4,1
74,5.6,2.9,3.6,1.3,1
2,6.7,3.1,4.4,1.4,1
8,5.6,3.0,4.5,1.5,1
54,5.8,2.7,4.1,1.0,1
129,6.2,2.2,,1.5,1
97,5.6,2.5,3.9,1.1,1
121,5.9,3.2,4.8,1.8,1
6,6.1,2.8,4.0,1.3,1
110,6.3,2.5,4.9,1.5,1
109,6.1,2.8,4.7,1.2,1
64,6.4,2.9,4.3,1.3,1
17,6.6,3.0,4.4,1.4,1
39,6.8,2.8,4.8,1.4,1
118,6.7,3.0,5.0,1.7,1
22,6.0,2.9,4.5,1.5,1
55,5.7,2.6,3.5,1.0,1
35,5.5,2.4,3.8,1.1,1
95,5.5,2.4,3.7,1.0,1
21,5.8,2.7,3.9,1.2,1
42,,2.7,5.1,1.6,1
67,5.4,3.0,4.5,1.5,1
70,6.0,3.4,4.5,1.6,1
92,6.7,3.1,4.7,1.5,1
128,6.3,2.3,4.4,1.3,1
31,5.6,3.0,4.1,1.3,1
130,5.5,2.5,4.0,1.3,1
40,5.5,2.6,4.4,,1
142,6.1,3.0,4.6,1.4,1
19,,2.6,4.0,1.2,1
11,5.0,2.3,3.3,1.0,1
141,,2.7,4.2,1.3,1
117,5.7,3.0,4.2,1.2,1
4,5.7,,4.2,1.3,1
101,6.2,2.9,4.3,1.3,1
87,5.1,2.5,3.0,1.1,1
62,5.7,2.8,4.1,1.3,1
112,,3.3,6.0,2.5,2
13,5.8,2.7,5.1,1.9,2
52,7.1,3.0,5.9,2.1,2
115,6.3,2.9,5.6,1.8,2
96,6.5,3.0,5.8,2.2,2
36,7.6,3.0,6.6,2.1,2
137,4.9,2.5,4.5,1.7,2
148,7.3,2.9,,1.8,2
53,6.7,2.5,5.8,1.8,2
79,7.2,3.6,6.1,2.5,2
32,6.5,3.2,5.1,2.0,2
126,6.4,2.7,5.3,1.9,2
72,6.8,3.0,5.5,2.1,2
105,5.7,2.5,5.0,2.0,2
93,5.8,2.8,5.1,2.4,2
65,6.4,3.2,5.3,2.3,2
143,6.5,3.0,5.5,1.8,2
136,7.7,3.8,6.7,2.2,2
81,7.7,2.6,6.9,2.3,2
34,6.0,2.2,5.0,1.5,2
111,6.9,3.2,5.7,2.3,2
57,5.6,2.8,4.9,2.0,2
14,7.7,2.8,6.7,2.0,2
84,6.3,2.7,4.9,,2
9,6.7,3.3,5.7,2.1,2
100,7.2,,6.0,1.8,2
82,6.2,2.8,4.8,1.8,2
41,6.1,3.0,4.9,1.8,2
106,6.4,2.8,5.6,2.1,2
16,7.2,3.0,5.8,1.6,2
103,7.4,2.8,6.1,1.9,2
25,7.9,3.8,6.4,2.0,2
102,6.4,2.8,5.6,2.2,2
75,6.3,2.8,5.1,1.5,2
45,6.1,2.6,5.6,1.4,2
26,7.7,3.0,,2.3,2
89,6.3,3.4,5.6,2.4,2
58,6.4,3.1,5.5,1.8,2
77,6.0,3.0,4.8,1.8,2
61,6.9,3.1,5.4,2.1,2
29,6.7,3.1,5.6,2.4,2
37,6.9,,5.1,2.3,2
132,5.8,2.7,5.1,1.9,2
149,6.8,3.2,5.9,2.3,2
86,6.7,,5.7,2.5,2
124,6.7,3.0,5.2,2.3,2
44,6.3,2.5,5.0,1.9,2
69,6.5,3.0,,2.0,2
56,6.2,3.4,5.4,2.3,2
5,5.9,3.0,5.1,1.8,2
